model,source,feature_extraction_ms,inference_ms,total_ms
SVM (RBF),saved,12.84260000102222,1.259799930267036,14.102399931289256
SVM (RBF),saved,11.391900014132261,1.0236999951303005,12.415600009262562
SVM (RBF),saved,10.584199917502701,0.9966000216081738,11.580799939110875
SVM (RBF),saved,12.658399995416403,1.2531999964267015,13.911599991843104
SVM (RBF),saved,11.086600017733872,1.4452999457716942,12.531899963505566
SVM (RBF),saved,11.777999927289784,0.9959000162780285,12.773899943567812
SVM (RBF),saved,10.956899961456656,1.2175000738352537,12.17440003529191
SVM (RBF),saved,11.180700035765767,1.0037999600172043,12.184499995782971
SVM (RBF),saved,10.614700033329427,1.2901999289169908,11.904899962246418
SVM (RBF),saved,12.064400012604892,1.3194000348448753,13.383800047449768
SVM (RBF),saved,10.152500006370246,0.9296999778598547,11.082199984230101
SVM (RBF),saved,13.053699978627264,0.9852000512182713,14.038900029845536
SVM (RBF),saved,10.65989991184324,0.9283000836148858,11.588199995458126
SVM (RBF),saved,10.912900092080235,0.9640000062063336,11.87690009828657
SVM (RBF),saved,10.864200070500374,0.8954999502748251,11.759700020775199
SVM (RBF),saved,11.2885000417009,1.0730999056249857,12.361599947325885
SVM (RBF),saved,11.548600043170154,0.9741999674588442,12.522800010628998
SVM (RBF),saved,11.005699983797967,1.1611999943852425,12.16689997818321
SVM (RBF),saved,11.872399947606027,0.9467999916523695,12.819199939258397
SVM (RBF),saved,10.114499949850142,1.3296999968588352,11.444199946708977
SVM (RBF),saved,11.687300051562488,0.9953000117093325,12.68260006327182
SVM (RBF),saved,12.46640004683286,1.0037999600172043,13.470200006850064
SVM (RBF),saved,10.770500055514276,0.9734999621286988,11.744000017642975
SVM (RBF),saved,13.659599935635924,1.242100028321147,14.901699963957071
SVM (RBF),saved,11.794599937275052,2.2076000459492207,14.002199983224273
SVM (RBF),saved,11.038399999961257,0.9261000668630004,11.964500066824257
SVM (RBF),saved,11.786299990490079,1.271599903702736,13.057899894192815
SVM (RBF),saved,10.796300019137561,0.9890999644994736,11.785399983637035
SVM (RBF),saved,10.164499981328845,0.9309999877586961,11.095499969087541
SVM (RBF),saved,10.885099996812642,0.9978999150916934,11.882999911904335
SVM (RBF),saved,10.588700068183243,0.9370999177917838,11.525799985975027
SVM (RBF),saved,12.663000030443072,1.0603000409901142,13.723300071433187
SVM (RBF),saved,11.971100000664592,1.0893000289797783,13.06040002964437
SVM (RBF),saved,11.918599950149655,1.3518000487238169,13.270399998873472
SVM (RBF),saved,11.40399998985231,1.3484000228345394,12.752400012686849
SVM (RBF),saved,11.337799951434135,1.0087999980896711,12.346599949523807
SVM (RBF),saved,10.013299994170666,0.9055000264197588,10.918800020590425
SVM (RBF),saved,12.035899912007153,0.9940000018104911,13.029899913817644
SVM (RBF),saved,10.09120000526309,0.9454999817535281,11.036699987016618
SVM (RBF),saved,11.53869996778667,1.659400062635541,13.19810003042221
SVM (RBF),saved,11.943100020289421,0.9840000420808792,12.9271000623703
SVM (RBF),saved,10.77559997793287,1.0000999318435788,11.77569990977645
SVM (RBF),saved,10.551500017754734,0.9582999628037214,11.509799980558455
